	param	roi	task	value	68_ci_lower	68_ci_upper	95_ci_lower	95_ci_upper	experimenter
1	loc	V1	perception	-1.365931694773357	-3.003787372154733	0.5241227675380036	-4.552189887810527	1.8759156226698803	rob
4	loc	V2	perception	-1.399167411009395	-2.2211248394522833	-0.5376829080786175	-3.2895048142199306	0.08210688705851717	rob
7	loc	V3	perception	-0.9507102214000542	-1.8352060492985132	-0.0710392273999768	-2.860132018303109	0.6270731793967111	rob
10	loc	V4	perception	-4.563390092995391	-5.887022442267629	-3.1362707585981893	-6.893260507053561	-1.6812140528830335	rob
13	loc	V3ab	perception	-1.73758210527931	-2.67179050801741	-0.9099297350207572	-3.2752985632022087	0.25716264542871753	rob
16	loc	IPS0	perception	-2.5259758387189533	-4.764710281947709	-0.7290553626783763	-6.798548392467673	1.1930839206471135	rob
19	loc	LO1	perception	0.22304400582861758	-2.4645615793898266	3.3313992035329822	-4.588067332942364	6.2941786379436016	rob
1	amp	V1	perception	1.014204874246405	0.9393341916042769	1.0934090681522401	0.8749014419672249	1.1611692766252626	rob
4	amp	V2	perception	1.220116080441887	1.14711914396527	1.2933892323918028	1.0820661951447614	1.3630726061260925	rob
7	amp	V3	perception	1.4177730831864688	1.3202958225650665	1.5070338887107875	1.2739441602456592	1.6060254554420899	rob
10	amp	V4	perception	1.215104978019001	1.1495260930709528	1.2829452791080895	1.100746385766578	1.3364015021543416	rob
13	amp	V3ab	perception	1.1072729621343531	1.0314782606489552	1.1871063536974862	0.9399677461970618	1.2458010917576858	rob
16	amp	IPS0	perception	0.7300716078913245	0.653794052501116	0.8069995076811507	0.6062461457033395	0.8806959160803076	rob
19	amp	LO1	perception	0.8697496869009125	0.7945761964628222	0.9710792746825924	0.7276721782640969	1.0791035993816969	rob
1	fwhm	V1	perception	36.55186607757355	34.77750079441036	38.701516691938416	32.8948271046629	40.79323067200946	rob
4	fwhm	V2	perception	48.66341031886881	47.20625983526853	50.53335386568461	45.70649584450701	51.79699868410205	rob
7	fwhm	V3	perception	62.27300991754643	59.78941046631374	65.17169587859615	57.405084046803466	67.91038895019068	rob
