	wlsubj	run	task	trial_id	cond	sacc_idx	sacc_label	index	event	eye	start_time	end_time	duration	x_start	y_start	x_end	y_end	amp_deg	peak_v	trial_start	trial_end	target_x	target_y	sac_x_deg	sac_y_deg	sac_ang	sac_ecc	target_theta	sacc_theta	ang_dist	fix_duration	x_centered	y_centered
0	114	1	perception	0	10	0	first	70	ESACC	R	449793	449863	71	979.1	558.9	825.8	677.7	4.97	399	432934	450974	-4.943568154375223	-4.955919077532154	-3.050000000000001	-3.129545454545456	-134.2625077113239	4.369960497769531	-2.3549468582232165	-2.3433228215468787	-0.6660082424594342	150	0.05079543718393903	4.3696652704328995
1	114	1	perception	0	10	1	corrective	71	ESACC	R	450013	450063	51	816.9	690.7	733.1	774.9	3.35	258	432934	450974	-4.943568154375223	-4.955919077532154	-5.156818181818181	-5.338636363636363	-134.0075348813113	7.422520595018317	-2.3549468582232165	-2.3388727061600307	-0.9209810724720476	107	0.11930558691783985	7.421561706298833
2	114	1	perception	0	10	2	corrective	72	ESACC	R	450170	450191	22	725.3	789.7	778.0	759.0	1.35	120	432934	450974	-4.943568154375223	-4.955919077532154	-4.136363636363637	-4.977272727272728	-129.7282836667775	6.471688182683426	-2.3549468582232165	-2.264185682946449	-5.200232287005859	577	0.5865719275887077	6.445050915830624
3	114	1	perception	0	10	3	response	73	ESACC	R	450768	450803	36	747.7	756.8	753.2	753.2	0.15	81	432934	450974	-4.943568154375223	-4.955919077532154	-4.699999999999999	-4.845454545454547	-134.12698902177303	6.750439226603416	-2.3549468582232165	-2.3409575742162274	-0.8015269320103343	171	0.09443073142580691	6.749778706670947
4	114	1	perception	1	14	0	first	139	ESACC	R	466802	466872	71	987.3	551.8	1280.5	682.9	6.38	251	450974	468010	6.165685224352151	-3.3142609604866013	7.284090909090909	-3.247727272727272	-24.030459399567064	7.975318978568653	-0.4932214716507979	-0.4194106372892647	-4.229049291255046	145	0.5881305820650456	7.953603914475323
5	114	1	perception	1	14	1	corrective	140	ESACC	R	467017	467076	60	1262.9	696.2	1239.2	688.8	0.43	96	450974	468010	6.165685224352151	-3.3142609604866013	6.345454545454547	-3.381818181818181	-28.055442230268284	7.190374649717898	-0.4932214716507979	-0.4896598400212424	-0.2040664605538273	150	0.02560941163720656	7.190329044024438
6	114	1	perception	1	14	2	response	141	ESACC	R	467226	467270	45	1232.8	690.6	1230.9	688.4	0.09	72	450974	468010	6.165685224352151	-3.3142609604866013	6.156818181818184	-3.372727272727272	-28.71408729670844	7.020092547834773	-0.4932214716507979	-0.50115536503264	0.4545786058863302	734	-0.055696081487136936	7.019871603289642
7	114	1	perception	1	14	3	last	142	ESACC	R	468004	468008	5	1211.4	679.1	1213.4	695.6	0.62	70	450974	468010	6.165685224352151	-3.3142609604866013	5.759090909090912	-3.536363636363637	-31.551961080597493	6.758179922713557	-0.4932214716507979	-0.5506856063175339	3.2924523897753795	2	-0.38813926468145943	6.747024809423866
8	114	1	perception	2	3	0	response	239	ESACC	R	485929	486136	208	982.6	549.8	1088.8	259.1	10.94	311	468010	487054	2.402146709183824	6.574928987263461	2.9272727272727264	6.384090909090909	65.36730541966884	7.023214531492819	1.2205131357974714	1.140874702729955	4.562946101803783	33	-0.5587267628240187	7.000954703458386
9	114	1	perception	2	3	1	corrective	240	ESACC	R	486169	486212	44	1087.9	253.8	1087.7	252.4	0.05	76	468010	487054	2.402146709183824	6.574928987263461	2.902272727272728	6.536363636363637	66.05784703304244	7.151729620885283	1.2205131357974714	1.152926927505358	3.87240448843019	41	-0.48299038348141743	7.135401660713462
10	114	1	perception	2	3	2	corrective	241	ESACC	R	486253	486301	49	1089.9	263.9	1090.2	256.6	0.27	61	468010	487054	2.402146709183824	6.574928987263461	2.9590909090909103	6.4409090909090905	65.32494153482527	7.088125910677648	1.2205131357974714	1.140135313455499	4.605309986647355	56	-0.5691148596071675	7.0652414822279175
11	114	1	perception	2	3	3	corrective	242	ESACC	R	486357	486390	34	1084.2	258.8	1083.5	232.9	0.95	115	468010	487054	2.402146709183824	6.574928987263461	2.8068181818181817	6.979545454545455	68.09251710193514	7.522784262349363	1.2205131357974714	1.1884386193993155	1.8377344195374867	116	-0.24124829719702975	7.518914969392245
12	114	1	perception	2	3	4	corrective	243	ESACC	R	486506	486550	45	1088.8	241.5	1080.5	233.3	0.32	62	468010	487054	2.402146709183824	6.574928987263461	2.738636363636364	6.970454545454545	68.55052973155958	7.489149865136852	1.2205131357974714	1.1964324478019792	1.3797217899130514	48	-0.18032645213820955	7.486978567695956
13	114	1	perception	2	3	5	last	244	ESACC	R	486598	486617	20	1081.3	243.6	1082.5	224.8	0.68	88	468010	487054	2.402146709183824	6.574928987263461	2.784090909090909	7.163636363636363	68.76177635810993	7.685626073424068	1.2205131357974714	1.2001193969690138	1.1684751633626942	437	-0.1567277863799789	7.684027885261237
14	114	1	perception	3	5	0	first	333	ESACC	R	503862	503926	65	1003.4	552.6	827.1	336.7	8.47	392	487054	505090	-4.056824281098004	5.704575072018393	-3.020454545454545	4.620454545454546	123.1731960180435	5.52012190696624	2.188968210360036	2.149777820719228	2.245443923891528	113	-0.21628035479214333	5.515883308763845
15	114	1	perception	3	5	1	corrective	334	ESACC	R	504039	504064	26	822.5	334.0	865.3	292.2	1.65	120	487054	505090	-4.056824281098004	5.704575072018393	-2.152272727272728	5.631818181818182	110.91500812455084	6.029067417571298	2.188968210360036	1.9358320816496728	14.503631817384177	76	-1.509927914077738	5.836931695669283
